ItemID,SalesDate,CostPrice, QtySales 
SKU_6478_111,6/1/2024,16.77, 416.50 
SKU_6478_111,7/1/2024,16.77, 584.00 
SKU_6478_111,8/1/2024,16.77," 1,043.00 "
SKU_6478_111,9/1/2024,16.77, 942.00 
SKU_6478_111,10/1/2024,16.77, 775.00 
SKU_4154_112,2/1/2017,17.67, 512.00 
SKU_4154_112,3/1/2017,17.67," 1,122.00 "
SKU_4154_112,4/1/2017,17.67, 900.00 
SKU_4154_112,5/1/2017,17.67, 390.00 
SKU_4154_112,6/1/2017,17.67, 850.00 
SKU_4154_112,7/1/2017,17.67," 1,300.00 "
SKU_4154_112,8/1/2017,17.67, 710.00 
SKU_4154_112,9/1/2017,17.67, 900.00 
SKU_4154_112,10/1/2017,17.67, 115.00 
SKU_4154_112,11/1/2017,17.67, 400.00 
SKU_4154_112,12/1/2017,17.67, 83.00 
SKU_4154_112,1/1/2018,17.67," 1,635.00 "
SKU_4154_112,2/1/2018,17.67, 50.00 
SKU_4154_112,3/1/2018,17.67," 1,649.00 "
SKU_4154_112,4/1/2018,17.67, 400.00 
SKU_4154_112,5/1/2018,17.67, 875.00 
SKU_4154_112,6/1/2018,17.67," 1,350.00 "
SKU_4154_112,7/1/2018,17.67, 550.00 
SKU_4154_112,8/1/2018,17.67, 355.50 
SKU_4154_112,9/1/2018,17.67, 161.00 
SKU_4154_112,10/1/2018,17.67, 50.00 
SKU_4154_112,11/1/2018,17.67, 116.67 
SKU_4154_112,12/1/2018,17.67, 183.33 
SKU_4154_112,1/1/2019,17.67, 250.00 
SKU_4154_112,2/1/2019,17.67, 650.00 
SKU_4154_112,3/1/2019,17.67, 650.00 
SKU_4154_112,4/1/2019,17.67, 350.00 
SKU_4154_112,5/1/2019,17.67, 375.00 
SKU_4154_112,6/1/2019,17.67, 300.00 
SKU_4154_112,7/1/2019,17.67, 417.00 
SKU_4154_112,8/1/2019,17.67, 550.00 
SKU_4154_112,9/1/2019,17.67, 365.00 
SKU_4154_112,10/1/2019,17.67, 610.00 
SKU_4154_112,11/1/2019,17.67, 400.00 
SKU_4154_112,12/1/2019,17.67, 300.00 
SKU_4154_112,1/1/2020,17.67, 530.00 
SKU_4154_112,2/1/2020,17.67, 791.00 
SKU_4154_112,3/1/2020,17.67, 650.00 
SKU_4154_112,4/1/2020,17.67, 350.00 
